,title,author,date,text
10,Закат,Бабель,," На неделю!.. Вы набитый дурак, Арье-Лейб!.. Опоздать на неделю!.. Кавалерия — это вамне пехота. Кавалерия плевала на вашу пехоту... Опоздал я на один час, и вахмистр берётменя к себе в помещение, пускает мне из души юшку, и из носу пускает мне юшку, и ещё подсуд меня отдаёт. Три генерала судят каждого конника, три генерала с медалями за Турецкуювойну. Еврей, который сел на лошадь, перестал быть евреем и стал русским. Вы какой-то болван,Арье-Лейб!.. Причём тут евреи? Мама, пока у вас что-нибудь найдёшь, можно мозги себе сломать. Куда вы подевали моёзелёное платье? Посмотри в комоде. Я смотрела в комоде — нету. В шкафу. В шкафе нету. Какое платье? Зелёное с блесткой. Кажется, папаша подхватил. Ох, я умру! Вы небось признались ему, старая хулиганка, что Боярский придёт сегодня смотретьДвойру?.. Она призналась. Готово дело!.. Я его ещё с утра заметил. Он запряг в биндюгСоломона Мудрого и Муську, поснедал, нажрался водки, как кабан, бросил в козлы что-тозелёное и подался со двора. Издохни! Сегодня издохни... Папаша, понимаете ли вы меня, жалеет приданое. Зарезать такого старика ко всем свиньям! Пусть не будет босяком. Пусть не будет грубияном. В прошлом году Сёмка Мунш хотел Двойру, но папаша, понимаете ли вы меня, жалеетприданое. Он сделал из Сёмкиной вывески кашу с подливкой и выбросил его со всехлестниц. Зарезать такого старика ко всем свиньям! Сто раз на дню старик убивает нас, а вы молчите ему, как столб. Тут каждую минуту женихможет наскочить... Здоровье присутствующих! Будем здоровы. Пусть будет хорошо! Очень приятно. Наша Вера сегодня немножко угорела от утюга. Исполнение обоюдных желаний. Будем здоровы! Крыша? Я люблю раков. Я люблю раков! Боярский! Прикинь мне, Боярский, на скорую руку, во что мне обойдётся зимний костюм прима? Однобортный. Фалды круглые. Сукно твоё. Какой лучше? Возьмём английское. Доклад твой. Сколько мне обойдётся? Так что ты говоришь, Никифор? Почему с нас люди смеются? Приказание дал? Чтоб ты света не дождался, мучитель!.. Так что ты говоришь, Никифор? Обоюдное исполнение желаний. Будем здоровы. Кто же твой хозяин, Никифор? Чтоб ты свету не дождался, мучитель... Зайдешь другим разом, Боярский. Зарезать такого старика ко всем свиньям! Заложи мне гнедого в дрожки!"
11,Закат,Бабель,," У людей всё как у людей... У людей берут к обеду десять фунтов мяса, делают суп, делаюткотлеты, делают компот. Отец приходит с работы, все садятся за стол, люди кушают исмеются... А у нас?.. Бог, милый бог, как темно в моём доме! Дай жить, Нехама. Спи! ...Бенчик, такой Бенчик, такое солнце на небе, он пошёл в эту жизнь. Сегодня одинпристав, завтра другой пристав... Сегодня люди имеют кусок хлеба, завтра им обложат ногижелезом... Дай дыхать, Нехама! Спи. ...Такой Лёвка. Дитё придёт из солдат и тоже кинется в налёты. Куда ему кинуться? Отецвыродок, отец не пускает детей в дело... Делай ночь, Нехама. Спи! Раввин сказал, раввин Бен Зхарья... Настанет новый месяц, сказал Бен Зхарья, и я невпущу Менделя в синагогу. Евреи не дадут мне... Чего не дадут евреи? Придёт новолуние, сказал Бен Зхарья... Что мне не дадут евреи и что мне дали твои евреи? Не пустят, не пустят в синагогу. Карбованец с откусанным углом дали мне твои евреи, тебя, клячу, и этот гроб склопами. А кацапы что тебе дали, что кацапы тебе дали? О, кляча на мою голову! Водку кацапы тебе дали, матерщины полный рот, бешеный рот, как у собаки... Емушестьдесят два года, бог, милый мой, и он горячий, как печка, он здоровый, какпечка. Выйми мне зубы, Нехама, налей жидовский суп в мои жилы, согни мне спину... Делай ночь, Нехама. Люди цацкаются с внуками,.. Может быть, хватит на сегодня, молодожёны? Ты... ты вошёл? Дать два рубля за номер, чтобы выспаться? Ночью, ночью ты вошёл? Она мне мать. Ты слышишь, супник!"
12,Закат,Бабель,," Темно! Ты в могиле меня держишь, Рябцов, в чёрной могиле!.. Темно! Урусов! Скрозь моё сердце сколько, говоришь, крови льётся? Стой! Стой!.. А если я в Америку хочу ехать — это свободно? Мендель, мама моя, мы не в Америку, мы в Бессарабию поедем, сады покупать. Сел, говоришь, и поехал? А ты сказывал — человек через моря летать может? Через горы, через высокие горы может человек лететь? Чего захочу, то и буду. Слухай меня, Рябцов, я ещё живой... Когда это меня бог убил? Рябцов, я бога хитрей. Конца нет. Прошу вашей дорогой любезности, выпейте со мной, господин... Вот я курями на базареторгую, мне мужики всё летошних кур всучивают, да рази я к курям этим присуждённая? Уменя папочка садовник был, первый садовник. Я, какая где яблонька задичится, я еёраздичу... Мендель дело своё продаст, получим, бог даст, деньги, мы тогда с ясочкой нашей в садыуедем, на нас, послухайте, господин, на нас с липы цвет лететь будет... Мендель,золотко, я папочкина дочка!.. Рябцов, у меня глаза были... слухай меня, Рябцов, у меня глаза были, сильней телескоповбыли, а чего я сделал с моими глазами? У меня ноги быстрей паровозов были, мои ноги поморю ходят, а чего я сделал с моими ногами? От обжорки к сортиру, от сортира кобжорке... Я полы мордой заметал, а теперь я сады поставлю. Я песни приказывал! Дай военную, музыкант... Не мотай жилы... Жизнь дай! Еще дай!.. Федя, я в Бессарабию еду. Песню, Федя, песню играй. Песню!.. Бей! Бей. Мендель, мама моя, выпейте со мной! Выпьем за нашу ясочку! Военное мне дай! Жизнь, музыкант, дай! Я песни приказывал... Вон человек сидит, обсуждает меня. Папочкина дочка! Здеся у него, у Васьки, деньги, здеся они! Продаст он, Василий Елисеевич, убиться мне, если не продаст! Скука какая! Уйди! Убью! Уйди, я спать буду... Василий Елисеевич, я дочку жалею. Жиды, как воши, обсели. Продаст он, Василий Елисеевич, покуражится и продаст."
13,Закат,Бабель,," Да приду к вам, проведаю... Да авось я не присуждённая к курям к этим. Видно, не век мне маяться... У людей-то небось на Потаповну глаза разбегаются? Девка-то, вишь, не у всякого есть. У кости, милая, мясо слаще. Девка сынов перетянет. Старик небось девку не бросает. Разберём. Я разберу... Про полотно-то чего толкуют? Пятьдесят! Три! Видно, к курям-то мы не присуждённые... Приду. Проведаю вас... Прощай, милая! Птичка-то наша куда взгромоздилась! Сбегайте к Мойсейке, мама. А чего купить? Не хватит рубля. Арапа не заправляйте! Хватит, ещё сдачи будет. Не хватит мне рубля. Я за воротами посижу, надо будет — покличешь. Марусичка!"
14,Закат,Бабель,," Ну? Мы не сделали дела. Что можно взять? Много сукна? Какой городовой? Ночной сторож? Соседи? Что ты хочешь с этого дела? Мы не сделали дела. Докладываю батькино наследство. Мы не сделали дела. Ну? Какие люди? Имеют оружие? Откуда они взялись? С каким покупателем? Какое дело? Сказился? Кто говорил? Сказился. Божись! Матерью божись! Ещё божись, стерва!"
15,Закат,Бабель,," Время идёт. Дай времени дорогу! Зарезать ко всем свиньям! Время идёт. Посторонись, Лёвка! Дай времени дорогу! Кричи больше. Замечаю я, Никифор, что ты очень растревожился. Кричи, кричи перед смертью. Растревожился наш Никифор. Время идёт. Посторонись, Лёвка, дай времени дорогу! Есть на свете люди, кроме Менделя. Есть на свете извоз, кроме моего извоза. Люди крутятся около моей конюшни. Зачем люди крутятся около моей конюшни? Ну? Что сыны мои? Пришлось мне слышать от чужих людей, мне и брату моему Лёвке, что вы продаёте, папаша,дело, в котором есть золотник и нашего пота... Люди, хозяева... Правильно ли мы слышали, я и брат мой Лёвка? Правильно ли мы слышали, я и брат мой Лёвка? Ой, возьмём. Никишка, счастьем тебе клянусь, он коней, дом, жизнь — всё девке под ноги бросил! Не возьмёшь! Он под низ живота меня бил, сука! Что вы здесь забыли? Он под низ живота меня бил, сука! Не молчи, Мендель. Кричи что-нибудь, Мендель!"
16,Закат,Бабель,," Грубо говоришь, Семён. Добрый человек, я на тебя плевать хочу! Старик больной. Ты ему возил, а мне не будешь, он на стенке писал, а я не буду писать, он платил тебе,а я, может, и не заплачу, потому что... ...потому что ты можешь у меня помереть, не поужинав, добрый человек. Никифор! Рассчитаешь Семёна и возьмёшь у Грошева. Я буду уговариваться. У меня выкупать... Семёна рассчитаешь вчистую. Возьмёшь у Грошева сена пятьсотпудов... Овса — двести. Потеряй мой адрес, Семён. Какие два рубля? Зачем мне знать, что кто-то пришёл? Зачем мне знать... Цари наши... В чём суть, мадам Холоденко? Цари наши... Д-ж-ж, жидовские шарики жужжат... Прыгают в голове шарики — д-ж-ж-ж... В чём суть, мадам Холоденко? Правильно, правильно! Нехай умный панует, а свинья в монопольку... В чём суть, мадам Холоденко? Д-ж-ж-ж, пустил шарики... Никифор! Девочка-то наша занеслась, Никита! Что вы потеряли здесь, мадам Попятник, и что вы хотите здесь найти? Ночью я к ней подобралась, грудь тронула, а у ней уже налилось, в руке непомещается. Какой месяц? Четвёртый. Врёшь! Ну, третий. Чего тебе от нас надо? Д-ж-ж, пустил шарики... Чего тебе надо? Вычистка сто рублей стоит. Двадцать пять! Портовых наведу. Портовых наведёшь?.. Никифор! Взойди к папаше и спроси его, приказывает он давать двадцать пять... Сто! ...двадцать пять рублей на вычистку или не приказывает? Отоприте. Ай, страшно! Отоприте. Ай, страшно! Взойдите в помещение к вашей супруге, папаша. Ты отопрёшь мне ворота, Никифор, сердце моё... Не бей меня, Бенчик. Не бей его. Убили сокола!.. Сыночек мой, любочка моя! Сыночек мой!"
17,Закат,Бабель,," Левый шинкель приложи и направо поверни! Но почему сразу все три тысячи? У вас готово, мадам Попятник? Моя мысль: еврей не первой молодости, еврей, отходивший всю свою жизнь голый, и босой,и замазанный, как ссыльнопоселенец с острова Сахалина... И теперь, когда он, благодарябога, вошёл в свои пожилые годы, надо сделать конец этой бессрочной каторге, надосделать, чтобы суббота была субботой... И потом, я хочу, чтобы вы меня немножко любили, Боярский. Я хочу, чтобы суббота была субботой. Я хочу, чтобы мы были люди не хуже других людей. Яхочу ходить вниз ногами и вверх головой... Ты понял меня, Бобринец? И потом, я хочу ребёнка, Боярский. Они дадут вам пить, они дадут вам есть, всё, что вы захотите, рабби. И лошадей моих отдам. Кидайтесь на стулья, урканы, жмите скамейки! Дорогие, присаживайтесь! Мосье Бобринец сядет рядом с рабби. Он сегодня больной. Рабби, он здоров... Никифор! Пусть взойдёт папаша. Рабби, человек так не мучает кабанчика, как он мучает папашу. Что он говорит? Друзья, сидящие в моём доме! Этот бокальчик позвольте мне поднять за моего отца, затруженика Менделя Крика, и его супругу, Нехаму Борисовну, которые тридцать пять лет идутпо совместной дороге жизни. Дорогие! Мы знаем, слишком хорошо мы знаем, что никто невыложил цементом эту дорогу, никто не поставил скамеек на длинном этом пути, и оттого,что великие кучи людей пробежали по этой дороге, она не стала легче, она стала тяжелее.Друзья, сидящие в моём доме! Я жду от вас, что вы не разбавите водой вино в вашихстаканах и вино в ваших сердцах... Желаю доброго здоровья... Папаша хочет сказать, что он жертвует сто рублей в чью-нибудь пользу. Пятьсот рублей жертвует папаша. В чью пользу, рабби? Давайте! Учи меня, Арье-Лейб! Папаша, не серчайте! Папаша, вы своё отгуляли... Дорогие, присаживайтесь! Жмите скамейки..."
18,Война и мир,Булгаков,1932," Петр Кириллыч, князь Болконский был вам друг. Он и есть вам друг. Он говорил мне  тогда, чтобы обратиться к вам. Он теперь здесь; скажите ему, чтобы он... прост...  простил меня. Нет, я знаю, что все кончено. Меня мучает только зло, которое я ему сделала. Скажите  только ему, что я прошу его простить, простить меня за все. Не говорите со мной так: я не стою этого! Для меня? Нет! Для меня все пропало!"
19,Война и мир,Булгаков,1932," Миром все вместе, без различия сословий, без вражды, а соединенные братской любовью  будем молиться!.. Боже мой, Боже мой! Помоги моей дочери!"
20,Война и мир,Булгаков,1932," Я хочу попробовать опять петь. Все-таки это занятие. Да вы - вы, вы - другое дело. Добрее, великодушнее, лучше вас я не знаю человека, и  не может быть. Ежели бы вас не было тогда, да и теперь, я не знаю, что бы было со  мною, потому что... Петр Кириллыч, а Петр Кириллыч?.. Ну что мое дело, Петр Кириллыч, ради Бога. Узнали - примут меня в гусары? Одна  надежда на вас. Да, да, слава Богу. Ну, а из армии что? Боже мой, Боже мой! Где же манифест? Ну, уж вечно растеряет все! Ну, Соня, ты мастерица... Хватают, хватают. Я графине и то говорю, чтобы поменьше говорила по-французски.  Теперь не время. Ну, что ж, граф Петр Кириллыч, как ополчение-то собирать будут, и вам придется на  коня? Ну, Соня, ну... Вот это так? Только скажи государь, мы всем пожертвуем и ничего не пожалеем! Что за прелесть этот папа! Совсем не патриотка, а просто... вам все смешно, а это совсем не шутка!.. Какие шутки! Только скажи он слово, мы все пойдем... Мы не немцы какие-нибудь. Ну уж там для чего бы ни было. Ну, теперь, папенька, я решительно скажу, и маменька тоже, как хотите. Я решительно  скажу, что вы пустите меня в военную службу, потому что я не могу... вот и все... Вот и договорился. Ну, ну. Вот воин еще! Глупости ты оставь: учиться надо! Это не глупости, папенька. Оболенский Федя моложе меня и тоже идет, а главное, все  равно я ничему не могу учиться теперь, когда... когда отечество в опасности! Полно, полно, глупости... Да ведь вы сами сказали, что всем пожертвуем. Петя! Я тебе говорю, замолчи!.. А я вам говорю... Вот и Петр Кириллович скажет. Ну так до свидания... Федя Оболенский... отечество в опасности. Оболенский Федя... Отчего вы уезжаете? Отчего вы расстроены? Отчего?"
